Participant,TASK,non-overlap_LONG_LARGE,non-overlap_LONG_SMALL,non-overlap_SHORT_LARGE,non-overlap_SHORT_SMALL,overlap_LONG_LARGE,overlap_LONG_SMALL,overlap_SHORT_LARGE,overlap_SHORT_SMALL
1,SINGLE_TASK,588.458,601.623,661.928,627.258,606.329,618.838,674.278,724.169
2,SINGLE_TASK,414.4,475.648,485.319,502.929,451.681,484.944,538.743,560.75
3,SINGLE_TASK,530.279,518.357,512.268,555.25,511.986,524.423,587.653,590.929
4,SINGLE_TASK,543.042,554.181,556.486,584.592,570.386,579.286,609.507,610.731
5,SINGLE_TASK,565.915,582.528,561.087,592.147,579.471,572.265,622.343,638.188
6,SINGLE_TASK,533.125,520.706,565.1,574.507,536.493,557.609,594.417,600.186
7,SINGLE_TASK,458.282,473.629,501.085,531.014,492.847,510.143,536.943,569.362
8,DUAL_TASK,595.268,635.347,665.153,666.443,643.5,685.735,738.652,704.914
9,SINGLE_TASK,599.592,604.887,630.958,654.5,631.551,634.155,654.246,683.145
10,DUAL_TASK,708.522,701.765,765.07,725.278,738.38,757.377,794.884,772.246
11,DUAL_TASK,983.208,1038.696,1061.986,1101.429,1057.194,1100.884,1110.662,1165.072
12,DUAL_TASK,869.69,938.353,950.565,999.985,944.139,1052.03,1012.803,1036.588
13,DUAL_TASK,872.236,868.764,976.208,926.292,917.875,854.431,957.903,950.75
14,DUAL_TASK,1037.603,1006.723,1082.209,1050.824,1077.348,1083.463,1092.944,1131.471
15,DUAL_TASK,944.417,213.625,949.792,273.083,921.375,253.153,849.361,346.972
16,DUAL_TASK,711.181,876.847,695.111,770.139,547.972,655.625,516.736,674.139
17,SINGLE_TASK,573.875,647.028,598.529,648.364,578.437,656.348,619.761,703.971
18,DUAL_TASK,814.556,788.389,883.472,855.903,814.889,784.389,843.194,806.431
20,SINGLE_TASK,513.097,510.127,542.7,517.329,504.803,512.431,560.831,552.441
21,SINGLE_TASK,351.486,355.861,380.127,391.643,369.069,373.761,417.588,414.091
22,DUAL_TASK,596.9,637.403,678.629,688.507,633.279,629.606,746.451,755.514
23,SINGLE_TASK,429.542,427.884,434.571,398.853,434.085,430.015,441.186,433.729
24,SINGLE_TASK,606.694,390.347,659.722,496.775,624.194,420.444,677.549,438.014
25,SINGLE_TASK,618.803,641.449,655.042,655.857,618.435,619.643,669.059,698.343
26,DUAL_TASK,783,826.493,861.915,889.817,869.338,863.544,909.54,938.222
27,DUAL_TASK,722.812,686.746,732.471,867.338,759.7,750.014,793.565,883.652
28,DUAL_TASK,638.69,647.514,683.014,702.292,708.361,659.845,742.931,733.901
29,SINGLE_TASK,468.129,462.957,479.309,489.957,468.042,459.366,509.764,511.456
30,DUAL_TASK,867.537,886.299,907.478,860,873.698,903.691,937.547,942.812
31,SINGLE_TASK,476.818,472.944,494.612,487.329,487.471,500.059,524.657,505.972
32,DUAL_TASK,696.901,670.4,790.197,716.232,717.694,732.157,833.552,798.826