SUBJECT,SOA,TASK,NUMBER,DURATION,MEAN_RT
1,0,SINGLE_TASK,LARGE,LONG,588.458
1,0,SINGLE_TASK,LARGE,SHORT,661.928
1,0,SINGLE_TASK,SMALL,LONG,601.623
1,0,SINGLE_TASK,SMALL,SHORT,627.258
1,100,SINGLE_TASK,LARGE,LONG,606.329
1,100,SINGLE_TASK,LARGE,SHORT,674.278
1,100,SINGLE_TASK,SMALL,LONG,618.838
1,100,SINGLE_TASK,SMALL,SHORT,724.169
10,0,DUAL_TASK,LARGE,LONG,708.522
10,0,DUAL_TASK,LARGE,SHORT,765.07
10,0,DUAL_TASK,SMALL,LONG,701.765
10,0,DUAL_TASK,SMALL,SHORT,725.278
10,100,DUAL_TASK,LARGE,LONG,738.38
10,100,DUAL_TASK,LARGE,SHORT,794.884
10,100,DUAL_TASK,SMALL,LONG,757.377
10,100,DUAL_TASK,SMALL,SHORT,772.246
11,0,DUAL_TASK,LARGE,LONG,983.208
11,0,DUAL_TASK,LARGE,SHORT,1061.986
11,0,DUAL_TASK,SMALL,LONG,1038.696
11,0,DUAL_TASK,SMALL,SHORT,1101.429
11,100,DUAL_TASK,LARGE,LONG,1057.194
11,100,DUAL_TASK,LARGE,SHORT,1110.662
11,100,DUAL_TASK,SMALL,LONG,1100.884
11,100,DUAL_TASK,SMALL,SHORT,1165.072
12,0,DUAL_TASK,LARGE,LONG,869.69
12,0,DUAL_TASK,LARGE,SHORT,950.565
12,0,DUAL_TASK,SMALL,LONG,938.353
12,0,DUAL_TASK,SMALL,SHORT,999.985
12,100,DUAL_TASK,LARGE,LONG,944.139
12,100,DUAL_TASK,LARGE,SHORT,1012.803
12,100,DUAL_TASK,SMALL,LONG,1052.03
12,100,DUAL_TASK,SMALL,SHORT,1036.588
13,0,DUAL_TASK,LARGE,LONG,872.236
13,0,DUAL_TASK,LARGE,SHORT,976.208
13,0,DUAL_TASK,SMALL,LONG,868.764
13,0,DUAL_TASK,SMALL,SHORT,926.292
13,100,DUAL_TASK,LARGE,LONG,917.875
13,100,DUAL_TASK,LARGE,SHORT,957.903
13,100,DUAL_TASK,SMALL,LONG,854.431
13,100,DUAL_TASK,SMALL,SHORT,950.75
14,0,DUAL_TASK,LARGE,LONG,1037.603
14,0,DUAL_TASK,LARGE,SHORT,1082.209
14,0,DUAL_TASK,SMALL,LONG,1006.723
14,0,DUAL_TASK,SMALL,SHORT,1050.824
14,100,DUAL_TASK,LARGE,LONG,1077.348
14,100,DUAL_TASK,LARGE,SHORT,1092.944
14,100,DUAL_TASK,SMALL,LONG,1083.463
14,100,DUAL_TASK,SMALL,SHORT,1131.471
15,0,DUAL_TASK,LARGE,LONG,944.417
15,0,DUAL_TASK,LARGE,SHORT,949.792
15,0,DUAL_TASK,SMALL,LONG,213.625
15,0,DUAL_TASK,SMALL,SHORT,273.083
15,100,DUAL_TASK,LARGE,LONG,921.375
15,100,DUAL_TASK,LARGE,SHORT,849.361
15,100,DUAL_TASK,SMALL,LONG,253.153
15,100,DUAL_TASK,SMALL,SHORT,346.972
16,0,DUAL_TASK,LARGE,LONG,711.181
16,0,DUAL_TASK,LARGE,SHORT,695.111
16,0,DUAL_TASK,SMALL,LONG,876.847
16,0,DUAL_TASK,SMALL,SHORT,770.139
16,100,DUAL_TASK,LARGE,LONG,547.972
16,100,DUAL_TASK,LARGE,SHORT,516.736
16,100,DUAL_TASK,SMALL,LONG,655.625
16,100,DUAL_TASK,SMALL,SHORT,674.139
17,0,SINGLE_TASK,LARGE,LONG,573.875
17,0,SINGLE_TASK,LARGE,SHORT,598.529
17,0,SINGLE_TASK,SMALL,LONG,647.028
17,0,SINGLE_TASK,SMALL,SHORT,648.364
17,100,SINGLE_TASK,LARGE,LONG,578.437
17,100,SINGLE_TASK,LARGE,SHORT,619.761
17,100,SINGLE_TASK,SMALL,LONG,656.348
17,100,SINGLE_TASK,SMALL,SHORT,703.971
18,0,DUAL_TASK,LARGE,LONG,814.556
18,0,DUAL_TASK,LARGE,SHORT,883.472
18,0,DUAL_TASK,SMALL,LONG,788.389
18,0,DUAL_TASK,SMALL,SHORT,855.903
18,100,DUAL_TASK,LARGE,LONG,814.889
18,100,DUAL_TASK,LARGE,SHORT,843.194
18,100,DUAL_TASK,SMALL,LONG,784.389
18,100,DUAL_TASK,SMALL,SHORT,806.431
2,0,SINGLE_TASK,LARGE,LONG,414.4
2,0,SINGLE_TASK,LARGE,SHORT,485.319
2,0,SINGLE_TASK,SMALL,LONG,475.648
2,0,SINGLE_TASK,SMALL,SHORT,502.929
2,100,SINGLE_TASK,LARGE,LONG,451.681
2,100,SINGLE_TASK,LARGE,SHORT,538.743
2,100,SINGLE_TASK,SMALL,LONG,484.944
2,100,SINGLE_TASK,SMALL,SHORT,560.75
20,0,SINGLE_TASK,LARGE,LONG,513.097
20,0,SINGLE_TASK,LARGE,SHORT,542.7
20,0,SINGLE_TASK,SMALL,LONG,510.127
20,0,SINGLE_TASK,SMALL,SHORT,517.329
20,100,SINGLE_TASK,LARGE,LONG,504.803
20,100,SINGLE_TASK,LARGE,SHORT,560.831
20,100,SINGLE_TASK,SMALL,LONG,512.431
20,100,SINGLE_TASK,SMALL,SHORT,552.441
21,0,SINGLE_TASK,LARGE,LONG,351.486
21,0,SINGLE_TASK,LARGE,SHORT,380.127
21,0,SINGLE_TASK,SMALL,LONG,355.861
21,0,SINGLE_TASK,SMALL,SHORT,391.643
21,100,SINGLE_TASK,LARGE,LONG,369.069
21,100,SINGLE_TASK,LARGE,SHORT,417.588
21,100,SINGLE_TASK,SMALL,LONG,373.761
21,100,SINGLE_TASK,SMALL,SHORT,414.091
22,0,DUAL_TASK,LARGE,LONG,596.9
22,0,DUAL_TASK,LARGE,SHORT,678.629
22,0,DUAL_TASK,SMALL,LONG,637.403
22,0,DUAL_TASK,SMALL,SHORT,688.507
22,100,DUAL_TASK,LARGE,LONG,633.279
22,100,DUAL_TASK,LARGE,SHORT,746.451
22,100,DUAL_TASK,SMALL,LONG,629.606
22,100,DUAL_TASK,SMALL,SHORT,755.514
23,0,SINGLE_TASK,LARGE,LONG,429.542
23,0,SINGLE_TASK,LARGE,SHORT,434.571
23,0,SINGLE_TASK,SMALL,LONG,427.884
23,0,SINGLE_TASK,SMALL,SHORT,398.853
23,100,SINGLE_TASK,LARGE,LONG,434.085
23,100,SINGLE_TASK,LARGE,SHORT,441.186
23,100,SINGLE_TASK,SMALL,LONG,430.015
23,100,SINGLE_TASK,SMALL,SHORT,433.729
25,0,SINGLE_TASK,LARGE,LONG,618.803
25,0,SINGLE_TASK,LARGE,SHORT,655.042
25,0,SINGLE_TASK,SMALL,LONG,641.449
25,0,SINGLE_TASK,SMALL,SHORT,655.857
25,100,SINGLE_TASK,LARGE,LONG,618.435
25,100,SINGLE_TASK,LARGE,SHORT,669.059
25,100,SINGLE_TASK,SMALL,LONG,619.643
25,100,SINGLE_TASK,SMALL,SHORT,698.343
26,0,DUAL_TASK,LARGE,LONG,783
,0,DUAL_TASK,LARGE,SHORT,861.915
,0,DUAL_TASK,SMALL,LONG,826.493
,0,DUAL_TASK,SMALL,SHORT,889.817
,100,DUAL_TASK,LARGE,LONG,869.338
,100,DUAL_TASK,LARGE,SHORT,909.54
,100,DUAL_TASK,SMALL,LONG,863.544
,100,DUAL_TASK,SMALL,SHORT,938.222
,0,DUAL_TASK,LARGE,LONG,722.812
,0,DUAL_TASK,LARGE,SHORT,732.471
,0,DUAL_TASK,SMALL,LONG,686.746
,0,DUAL_TASK,SMALL,SHORT,867.338
,100,DUAL_TASK,LARGE,LONG,759.7
,100,DUAL_TASK,LARGE,SHORT,793.565
,100,DUAL_TASK,SMALL,LONG,750.014
,100,DUAL_TASK,SMALL,SHORT,883.652
,0,DUAL_TASK,LARGE,LONG,638.69
,0,DUAL_TASK,LARGE,SHORT,683.014
,0,DUAL_TASK,SMALL,LONG,647.514
,0,DUAL_TASK,SMALL,SHORT,702.292
,100,DUAL_TASK,LARGE,LONG,708.361
,100,DUAL_TASK,LARGE,SHORT,742.931
,100,DUAL_TASK,SMALL,LONG,659.845
,100,DUAL_TASK,SMALL,SHORT,733.901
,0,SINGLE_TASK,LARGE,LONG,468.129
,0,SINGLE_TASK,LARGE,SHORT,479.309
,0,SINGLE_TASK,SMALL,LONG,462.957
,0,SINGLE_TASK,SMALL,SHORT,489.957
,100,SINGLE_TASK,LARGE,LONG,468.042
,100,SINGLE_TASK,LARGE,SHORT,509.764
,100,SINGLE_TASK,SMALL,LONG,459.366
,100,SINGLE_TASK,SMALL,SHORT,511.456
,0,SINGLE_TASK,LARGE,LONG,530.279
,0,SINGLE_TASK,LARGE,SHORT,512.268
,0,SINGLE_TASK,SMALL,LONG,518.357
,0,SINGLE_TASK,SMALL,SHORT,555.25
,100,SINGLE_TASK,LARGE,LONG,511.986
,100,SINGLE_TASK,LARGE,SHORT,587.653
,100,SINGLE_TASK,SMALL,LONG,524.423
,100,SINGLE_TASK,SMALL,SHORT,590.929
,0,DUAL_TASK,LARGE,LONG,867.537
,0,DUAL_TASK,LARGE,SHORT,907.478
,0,DUAL_TASK,SMALL,LONG,886.299
,0,DUAL_TASK,SMALL,SHORT,860
,100,DUAL_TASK,LARGE,LONG,873.698
,100,DUAL_TASK,LARGE,SHORT,937.547
,100,DUAL_TASK,SMALL,LONG,903.691
,100,DUAL_TASK,SMALL,SHORT,942.812
,0,DUAL_TASK,LARGE,LONG,696.901
,0,DUAL_TASK,LARGE,SHORT,790.197
,0,DUAL_TASK,SMALL,LONG,670.4
,0,DUAL_TASK,SMALL,SHORT,716.232
,100,DUAL_TASK,LARGE,LONG,717.694
,100,DUAL_TASK,LARGE,SHORT,833.552
,100,DUAL_TASK,SMALL,LONG,732.157
,100,DUAL_TASK,SMALL,SHORT,798.826
,0,SINGLE_TASK,LARGE,LONG,543.042
,0,SINGLE_TASK,LARGE,SHORT,556.486
,0,SINGLE_TASK,SMALL,LONG,554.181
,0,SINGLE_TASK,SMALL,SHORT,584.592
,100,SINGLE_TASK,LARGE,LONG,570.386
,100,SINGLE_TASK,LARGE,SHORT,609.507
,100,SINGLE_TASK,SMALL,LONG,579.286
,100,SINGLE_TASK,SMALL,SHORT,610.731
,0,SINGLE_TASK,LARGE,LONG,565.915
,0,SINGLE_TASK,LARGE,SHORT,561.087
,0,SINGLE_TASK,SMALL,LONG,582.528
,0,SINGLE_TASK,SMALL,SHORT,592.147
,100,SINGLE_TASK,LARGE,LONG,579.471
,100,SINGLE_TASK,LARGE,SHORT,622.343
,100,SINGLE_TASK,SMALL,LONG,572.265
,100,SINGLE_TASK,SMALL,SHORT,638.188
,0,SINGLE_TASK,LARGE,LONG,533.125
,0,SINGLE_TASK,LARGE,SHORT,565.1
,0,SINGLE_TASK,SMALL,LONG,520.706
,0,SINGLE_TASK,SMALL,SHORT,574.507
,100,SINGLE_TASK,LARGE,LONG,536.493
,100,SINGLE_TASK,LARGE,SHORT,594.417
,100,SINGLE_TASK,SMALL,LONG,557.609
,100,SINGLE_TASK,SMALL,SHORT,600.186
,0,SINGLE_TASK,LARGE,LONG,458.282
,0,SINGLE_TASK,LARGE,SHORT,501.085
,0,SINGLE_TASK,SMALL,LONG,473.629
,0,SINGLE_TASK,SMALL,SHORT,531.014
,100,SINGLE_TASK,LARGE,LONG,492.847
,100,SINGLE_TASK,LARGE,SHORT,536.943
,100,SINGLE_TASK,SMALL,LONG,510.143
,100,SINGLE_TASK,SMALL,SHORT,569.362
,0,DUAL_TASK,LARGE,LONG,595.268
,0,DUAL_TASK,LARGE,SHORT,665.153
,0,DUAL_TASK,SMALL,LONG,635.347
,0,DUAL_TASK,SMALL,SHORT,666.443
,100,DUAL_TASK,LARGE,LONG,643.5
,100,DUAL_TASK,LARGE,SHORT,738.652
,100,DUAL_TASK,SMALL,LONG,685.735
,100,DUAL_TASK,SMALL,SHORT,704.914
,0,SINGLE_TASK,LARGE,LONG,599.592
,0,SINGLE_TASK,LARGE,SHORT,630.958
,0,SINGLE_TASK,SMALL,LONG,604.887
,0,SINGLE_TASK,SMALL,SHORT,654.5
,100,SINGLE_TASK,LARGE,LONG,631.551
,100,SINGLE_TASK,LARGE,SHORT,654.246
,100,SINGLE_TASK,SMALL,LONG,634.155
,100,SINGLE_TASK,SMALL,SHORT,683.145