Participant,non-overlap_LONG_LARGE,non-overlap_LONG_SMALL,non-overlap_SHORT_LARGE,non-overlap_SHORT_SMALL,overlap_LONG_LARGE,overlap_LONG_SMALL,overlap_SHORT_LARGE,non-overlap_SHORT_SMALL
1,588.458,601.623,661.928,627.258,606.329,618.838,674.278,724.169
2,414.4,475.648,485.319,502.929,451.681,484.944,538.743,560.75
3,530.279,518.357,512.268,555.25,511.986,524.423,587.653,590.929
4,543.042,554.181,556.486,584.592,570.386,579.286,609.507,610.731
5,565.915,582.528,561.087,592.147,579.471,572.265,622.343,638.188
6,533.125,520.706,565.1,574.507,536.493,557.609,594.417,600.186
7,458.282,473.629,501.085,531.014,492.847,510.143,536.943,569.362
9,599.592,604.887,630.958,654.5,631.551,634.155,654.246,683.145
17,573.875,647.028,598.529,648.364,578.437,656.348,619.761,703.971
20,513.097,510.127,542.7,517.329,504.803,512.431,560.831,552.441
21,351.486,355.861,380.127,391.643,369.069,373.761,417.588,414.091
23,429.542,427.884,434.571,398.853,434.085,430.015,441.186,433.729
24,606.694,390.347,659.722,496.775,624.194,420.444,677.549,438.014
25,618.803,641.449,655.042,655.857,618.435,619.643,669.059,698.343
29,468.129,462.957,479.309,489.957,468.042,459.366,509.764,511.456
31,476.818,472.944,494.612,487.329,487.471,500.059,524.657,505.972